
                           В  Е  Д  О  М  О  С  Т  Ь    В  Ы  Ч  И  С  Л  Е  Н  И  Я    К  О  О  Р  Д  И  Н  А  Т
-----------------------------------------------------------------------------------------------------------------------------------------------
|  Название   |  Длина  | Направ-  |  Угол   |  Высота  |   Дир.   |        П р и р а щ е н и я      |            К о о р д и н а т ы         |
|   точки     |  линии  |  ление   | наклона | наведения|   угол   |---------------------------------|----------------------------------------|
|             |    м.   |  г.мс    |   г.мс  |     м.   |   г.мс   |   DX, м. |   DY, м. |   DZ, м.  |     X, м.   |    Y, м.    |     Z, м.  |
|-------------|---------|----------|---------|----------|----------|----------|----------|-----------|--------- ---|-------------|------------|
|      1      |     2   |     3    |    4    |     5    |     6    |     7    |     8    |      9    |     10      |      11     |      12    |
|         11 |   45.760 | 168.3036 | -0.4722 |    1.600 | 168.3036 |  -44.839 |    9.114 |    -0.652 |     -44.839 |       9.114 |     -0.652 |
|         30 |   45.510 | 174.0732 | -1.0741 |    1.600 | 174.0732 |  -45.262 |    4.657 |    -0.918 |     -45.262 |       4.657 |     -0.918 |
|          0 |   39.600 | 173.4603 | -1.0942 |    1.600 | 173.4603 |  -39.358 |    4.298 |    -0.825 |     -39.358 |       4.298 |     -0.825 |
|         30 |   29.830 | 170.2731 | -1.4704 |    1.600 | 170.2731 |  -29.403 |    4.942 |    -0.951 |     -29.403 |       4.942 |     -0.951 |
|          0 |   22.340 | 168.4937 | -2.1228 |    1.600 | 168.4937 |  -21.900 |    4.326 |    -0.883 |     -21.900 |       4.326 |     -0.883 |
|          0 |   17.850 | 165.2857 | -2.3359 |    1.600 | 165.2857 |  -17.263 |    4.470 |    -0.821 |     -17.263 |       4.470 |     -0.821 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 162       Ориентир 161      Высота инструмента i = 1.552
-----------------------------------------------------------------------------------------------------------------------------------------------
|        162 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        161 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T161 |   52.556 | 359.5959 |  0.1621 |    1.600 | 359.5959 |   52.555 |    0.000 |     0.202 |      52.555 |       0.000 |      0.202 |
|       T163 |   49.481 | 189.4003 | -0.3300 |    1.600 | 189.4003 |  -48.776 |   -8.309 |    -0.523 |     -48.776 |      -8.309 |     -0.523 |
|          2 |   42.850 | 195.5453 | -0.1701 |    1.640 | 195.5453 |  -41.207 |  -11.750 |    -0.300 |     -41.207 |     -11.750 |     -0.300 |
|          2 |   43.040 | 205.3702 | -0.2357 |    1.640 | 205.3702 |  -38.808 |  -18.608 |    -0.388 |     -38.808 |     -18.608 |     -0.388 |
|          5 |   44.340 | 209.1920 | -0.4714 |    1.640 | 209.1920 |  -38.655 |  -21.712 |    -0.697 |     -38.655 |     -21.712 |     -0.697 |
|          5 |   44.330 | 209.1920 | -0.4714 |    1.640 | 209.1920 |  -38.647 |  -21.707 |    -0.697 |     -38.647 |     -21.707 |     -0.697 |
|          5 |   33.720 | 216.3208 | -0.4614 |    1.640 | 216.3208 |  -27.091 |  -20.072 |    -0.541 |     -27.091 |     -20.072 |     -0.541 |
|          2 |   32.240 | 210.3135 | -0.1358 |    1.640 | 210.3135 |  -27.771 |  -16.376 |    -0.219 |     -27.771 |     -16.376 |     -0.219 |
|          2 |   30.520 | 195.2523 | -0.0434 |    1.640 | 195.2523 |  -29.421 |   -8.117 |    -0.129 |     -29.421 |      -8.117 |     -0.129 |
|         66 |   43.650 | 189.4717 | -0.0845 |    1.640 | 189.4717 |  -43.014 |   -7.421 |    -0.199 |     -43.014 |      -7.421 |     -0.199 |
|          6 |   33.580 | 189.4114 |  0.0507 |    1.640 | 189.4114 |  -33.101 |   -5.650 |    -0.038 |     -33.101 |      -5.650 |     -0.038 |
|          6 |   20.770 | 186.4804 |  0.3009 |    1.640 | 186.4804 |  -20.623 |   -2.460 |     0.094 |     -20.623 |      -2.460 |      0.094 |
|          6 |   13.760 | 173.3400 |  0.5015 |    1.640 | 173.3400 |  -13.672 |    1.542 |     0.113 |     -13.672 |       1.542 |      0.113 |
|         22 |   20.140 | 244.3925 |  0.2920 |    1.640 | 244.3925 |   -8.620 |  -18.201 |     0.084 |      -8.620 |     -18.201 |      0.084 |
|         31 |   22.670 | 232.0243 | -0.0443 |    1.640 | 232.0243 |  -13.943 |  -17.875 |    -0.119 |     -13.943 |     -17.875 |     -0.119 |
|         55 |   25.120 | 229.4044 | -0.1511 |    1.640 | 229.4044 |  -16.254 |  -19.152 |    -0.199 |     -16.254 |     -19.152 |     -0.199 |
|      30-40 |   26.820 | 250.1035 | -1.2637 |    1.640 | 250.1035 |   -9.092 |  -25.223 |    -0.764 |      -9.092 |     -25.223 |     -0.764 |
|        440 |   26.750 | 255.2433 | -1.5319 |    1.640 | 255.2433 |   -6.735 |  -25.873 |    -0.970 |      -6.735 |     -25.873 |     -0.970 |
|         S0 |   26.480 | 256.1944 | -1.5526 |    1.640 | 256.1944 |   -6.255 |  -25.715 |    -0.977 |      -6.255 |     -25.715 |     -0.977 |
|         S1 |   24.570 | 253.4808 |  0.1325 |    1.640 | 253.4808 |   -6.854 |  -23.595 |     0.008 |      -6.854 |     -23.595 |      0.008 |
|         77 |   24.320 | 253.1555 |  0.1412 |    1.640 | 253.1555 |   -7.003 |  -23.290 |     0.012 |      -7.003 |     -23.290 |      0.012 |
|         77 |   24.550 | 252.3153 |  0.1447 |    1.640 | 252.3153 |   -7.369 |  -23.418 |     0.018 |      -7.369 |     -23.418 |      0.018 |
|        317 |   26.320 | 253.1926 |  0.0311 |    1.640 | 253.1926 |   -7.553 |  -25.213 |    -0.064 |      -7.553 |     -25.213 |     -0.064 |
|         77 |   26.380 | 255.2312 |  1.0220 |    1.640 | 255.2312 |   -6.654 |  -25.522 |     0.390 |      -6.654 |     -25.522 |      0.390 |
|         77 |   26.470 | 250.1519 | -0.3244 |    1.640 | 250.1519 |   -8.942 |  -24.913 |    -0.340 |      -8.942 |     -24.913 |     -0.340 |
|         22 |   19.460 | 254.0118 |  0.2653 |    1.640 | 254.0118 |   -5.357 |  -18.708 |     0.064 |      -5.357 |     -18.708 |      0.064 |
|         77 |   23.030 | 259.0647 |  0.1314 |    1.640 | 259.0647 |   -4.350 |  -22.615 |     0.001 |      -4.350 |     -22.615 |      0.001 |
|         77 |   22.870 | 259.4821 |  0.0326 |    1.640 | 259.4821 |   -4.048 |  -22.509 |    -0.065 |      -4.048 |     -22.509 |     -0.065 |
|         77 |   24.730 | 262.0453 |  0.0506 |    1.640 | 262.0453 |   -3.407 |  -24.494 |    -0.051 |      -3.407 |     -24.494 |     -0.051 |
|         S0 |   25.240 | 261.3324 | -2.1630 |    1.600 | 261.3324 |   -3.703 |  -24.947 |    -1.050 |      -3.703 |     -24.947 |     -1.050 |
|         S0 |   23.580 | 276.2108 | -2.1205 |    1.640 | 276.2108 |    2.607 |  -23.418 |    -0.994 |       2.607 |     -23.418 |     -0.994 |
|         S1 |   21.380 | 275.2950 |  0.1315 |    1.640 | 275.2950 |    2.048 |  -21.282 |    -0.006 |       2.048 |     -21.282 |     -0.006 |
|         77 |   21.150 | 275.2200 |  0.1641 |    1.640 | 275.2200 |    1.978 |  -21.057 |     0.015 |       1.978 |     -21.057 |      0.015 |
|         77 |   21.210 | 274.1328 |  0.0752 |    1.640 | 274.1328 |    1.562 |  -21.152 |    -0.039 |       1.562 |     -21.152 |     -0.039 |
|         77 |   23.290 | 275.2016 |  1.0732 |    1.640 | 275.2016 |    2.166 |  -23.185 |     0.369 |       2.166 |     -23.185 |      0.369 |
|         22 |   16.140 | 283.4934 |  0.3722 |    1.640 | 283.4934 |    3.857 |  -15.671 |     0.087 |       3.857 |     -15.671 |      0.087 |
|         77 |   20.810 | 282.3039 |  0.2940 |    1.640 | 282.3039 |    4.508 |  -20.315 |     0.092 |       4.508 |     -20.315 |      0.092 |
|         77 |   20.800 | 283.2259 |  0.3358 |    1.640 | 283.2259 |    4.814 |  -20.234 |     0.118 |       4.814 |     -20.234 |      0.118 |
|         77 |   22.930 | 283.3727 |  1.1518 |    1.640 | 283.3727 |    5.400 |  -22.279 |     0.414 |       5.400 |     -22.279 |      0.414 |
|         77 |   23.040 | 289.5148 |  0.1611 |    1.640 | 289.5148 |    7.828 |  -21.669 |     0.020 |       7.828 |     -21.669 |      0.020 |
|        317 |   22.030 | 295.0532 | -0.0803 |    1.640 | 295.0532 |    9.342 |  -19.951 |    -0.140 |       9.342 |     -19.951 |     -0.140 |
|         77 |   22.350 | 295.3815 | -1.0134 |    1.640 | 295.3815 |    9.669 |  -20.146 |    -0.488 |       9.669 |     -20.146 |     -0.488 |
|         55 |   24.070 | 297.2413 | -2.0812 |    1.640 | 297.2413 |   11.071 |  -21.354 |    -0.985 |      11.071 |     -21.354 |     -0.985 |
|         77 |   23.430 | 290.1615 | -2.1258 |    1.640 | 290.1615 |    8.111 |  -21.962 |    -0.994 |       8.111 |     -21.962 |     -0.994 |
|         S0 |   23.280 | 282.4903 | -2.0354 |    1.640 | 282.4903 |    5.161 |  -22.685 |    -0.927 |       5.161 |     -22.685 |     -0.927 |
|          0 |    5.240 |  30.2901 | -1.2047 |    1.600 |  30.2901 |    4.514 |    2.657 |    -0.171 |       4.514 |       2.657 |     -0.171 |
|        301 |    5.360 |  80.3701 | -1.5827 |    1.640 |  80.3701 |    0.873 |    5.285 |    -0.273 |       0.873 |       5.285 |     -0.273 |
|         +1 |   13.210 |  99.2810 |  0.2712 |    1.640 |  99.2810 |   -2.173 |   13.030 |     0.017 |      -2.173 |      13.030 |      0.017 |
|         70 |   14.230 | 113.2334 | -0.0743 |    1.640 | 113.2334 |   -5.650 |   13.060 |    -0.120 |      -5.650 |      13.060 |     -0.120 |
|         71 |   16.260 | 127.2953 | -0.1415 |    1.640 | 127.2953 |   -9.898 |   12.900 |    -0.155 |      -9.898 |      12.900 |     -0.155 |
|          6 |   16.200 | 132.3135 |  0.2928 |    1.640 | 132.3135 |  -10.950 |   11.938 |     0.051 |     -10.950 |      11.938 |      0.051 |
|         13 |   17.080 | 169.3558 |  0.1352 |    1.640 | 169.3558 |  -16.799 |    3.083 |    -0.019 |     -16.799 |       3.083 |     -0.019 |
|         11 |   19.660 | 160.2335 | -0.3556 |    1.640 | 160.2335 |  -18.519 |    6.597 |    -0.293 |     -18.519 |       6.597 |     -0.293 |
|         11 |   22.070 | 163.1216 | -0.4102 |    1.640 | 163.1216 |  -21.127 |    6.377 |    -0.351 |     -21.127 |       6.377 |     -0.351 |
|          7 |   21.970 | 144.4534 | -0.4525 |    1.640 | 144.4534 |  -17.942 |   12.676 |    -0.378 |     -17.942 |      12.676 |     -0.378 |
|          7 |   29.220 | 154.3232 | -0.3907 |    1.640 | 154.3232 |  -26.381 |   12.559 |    -0.420 |     -26.381 |      12.559 |     -0.420 |
|        999 |   21.900 | 157.5916 | 15.2407 |    0.000 | 157.5916 |  -19.574 |    7.913 |     7.368 |     -19.574 |       7.913 |      7.368 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 163       Ориентир 162      Высота инструмента i = 1.560
-----------------------------------------------------------------------------------------------------------------------------------------------
|        163 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        162 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T162 |   49.488 | 359.5959 |  0.3836 |    1.600 | 359.5959 |   49.485 |    0.000 |     0.516 |      49.485 |       0.000 |      0.516 |
|          L |   42.031 | 211.0414 | -0.2901 |    1.600 | 211.0414 |  -36.000 |  -21.691 |    -0.395 |     -36.000 |     -21.691 |     -0.395 |
|          0 |    8.070 |  10.2649 |  3.2525 |    1.640 |  10.2649 |    7.922 |    1.461 |     0.402 |       7.922 |       1.461 |      0.402 |
|         00 |   14.150 |  22.3222 |  1.1441 |    1.640 |  22.3222 |   13.066 |    5.423 |     0.227 |      13.066 |       5.423 |      0.227 |
|        -10 |   15.420 |  17.2137 |  1.5305 |    1.640 |  17.2137 |   14.710 |    4.599 |     0.427 |      14.710 |       4.599 |      0.427 |
|          - |   17.090 |  23.1739 |  1.5724 |    1.640 |  23.1739 |   15.688 |    6.754 |     0.504 |      15.688 |       6.754 |      0.504 |
|        000 |   18.000 |  25.0242 | -3.0746 |    0.080 |  25.0242 |   16.283 |    7.609 |     0.497 |      16.283 |       7.609 |      0.497 |
|          - |   17.570 |  32.1154 |  2.0545 |    1.640 |  32.1154 |   14.858 |    9.356 |     0.563 |      14.858 |       9.356 |      0.563 |
|          - |   20.210 |  30.0716 |  1.5401 |    1.640 |  30.0716 |   17.471 |   10.136 |     0.590 |      17.471 |      10.136 |      0.590 |
|        -01 |   19.950 |  13.1135 |  1.3113 |    1.640 |  13.1135 |   19.417 |    4.552 |     0.449 |      19.417 |       4.552 |      0.449 |
|        -00 |   20.060 |  14.3531 |  2.5947 |    1.640 |  14.3531 |   19.386 |    5.047 |     0.969 |      19.386 |       5.047 |      0.969 |
|          7 |   26.510 |  41.5646 |  0.1702 |    1.640 |  41.5646 |   19.717 |   17.720 |     0.051 |      19.717 |      17.720 |      0.051 |
|          3 |   22.940 |  43.4509 |  0.4014 |    1.640 |  43.4509 |   16.569 |   15.863 |     0.188 |      16.569 |      15.863 |      0.188 |
|          3 |   18.800 |  49.5838 | -0.1729 |    1.640 |  49.5838 |   12.090 |   14.397 |    -0.176 |      12.090 |      14.397 |     -0.176 |
|         11 |   16.210 |  57.4328 | -0.0644 |    1.640 |  57.4328 |    8.656 |   13.705 |    -0.112 |       8.656 |      13.705 |     -0.112 |
|         11 |   14.110 |  56.4048 |  0.4535 |    1.640 |  56.4048 |    7.750 |   11.790 |     0.107 |       7.750 |      11.790 |      0.107 |
|          6 |   12.030 |  59.1824 |  1.1452 |    1.640 |  59.1824 |    6.139 |   10.342 |     0.182 |       6.139 |      10.342 |      0.182 |
|         66 |    8.310 |  22.3346 |  1.5519 |    1.640 |  22.3346 |    7.670 |    3.187 |     0.199 |       7.670 |       3.187 |      0.199 |
|         66 |    5.650 |  29.3909 |  2.4804 |    1.640 |  29.3909 |    4.904 |    2.792 |     0.196 |       4.904 |       2.792 |      0.196 |
|          0 |    5.680 | 100.4313 | -0.2210 |    1.600 | 100.4313 |   -1.057 |    5.581 |    -0.077 |      -1.057 |       5.581 |     -0.077 |
|        000 |    6.580 | 105.3708 | -1.0447 |    1.600 | 105.3708 |   -1.771 |    6.336 |    -0.164 |      -1.771 |       6.336 |     -0.164 |
|          0 |    9.600 | 154.0923 | -1.3027 |    1.600 | 154.0923 |   -8.637 |    4.183 |    -0.293 |      -8.637 |       4.183 |     -0.293 |
|          6 |   14.880 | 157.0815 | -0.4512 |    1.600 | 157.0815 |  -13.710 |    5.781 |    -0.236 |     -13.710 |       5.781 |     -0.236 |
|        000 |   14.910 | 162.1714 | -1.0406 |    1.600 | 162.1714 |  -14.201 |    4.536 |    -0.318 |     -14.201 |       4.536 |     -0.318 |
|          6 |   15.930 | 167.3829 | -0.5205 |    1.600 | 167.3829 |  -15.559 |    3.409 |    -0.281 |     -15.559 |       3.409 |     -0.281 |
|          - |   17.830 | 168.0016 | -0.4107 |    1.600 | 168.0016 |  -17.439 |    3.705 |    -0.253 |     -17.439 |       3.705 |     -0.253 |
|        122 |   17.790 | 166.2930 | -0.5010 |    1.600 | 166.2930 |  -17.296 |    4.155 |    -0.300 |     -17.296 |       4.155 |     -0.300 |
|        122 |   17.110 | 165.2011 | -1.0227 |    1.600 | 165.2011 |  -16.550 |    4.331 |    -0.351 |     -16.550 |       4.331 |     -0.351 |
|        122 |   15.980 | 176.3133 | -0.3702 |    1.640 | 176.3133 |  -15.950 |    0.968 |    -0.252 |     -15.950 |       0.968 |     -0.252 |
|          0 |   14.180 | 174.2846 | -0.2002 |    1.640 | 174.2846 |  -14.114 |    1.364 |    -0.163 |     -14.114 |       1.364 |     -0.163 |
|         66 |   14.670 | 184.3434 | -0.1528 |    1.640 | 184.3434 |  -14.623 |   -1.170 |    -0.146 |     -14.623 |      -1.170 |     -0.146 |
|         66 |   12.410 | 183.0722 | -0.1436 |    1.640 | 183.0722 |  -12.391 |   -0.676 |    -0.133 |     -12.391 |      -0.676 |     -0.133 |
|         60 |   10.690 | 181.3248 | -0.1642 |    1.640 | 181.3248 |  -10.686 |   -0.289 |    -0.132 |     -10.686 |      -0.289 |     -0.132 |
|         66 |   10.890 | 198.1557 | -0.4254 |    1.640 | 198.1557 |  -10.340 |   -3.413 |    -0.216 |     -10.340 |      -3.413 |     -0.216 |
|          6 |   15.050 | 208.3715 |  0.1401 |    1.640 | 208.3715 |  -13.211 |   -7.209 |    -0.019 |     -13.211 |      -7.209 |     -0.019 |
|          6 |   16.430 | 209.3216 | -0.0303 |    1.640 | 209.3216 |  -14.295 |   -8.100 |    -0.095 |     -14.295 |      -8.100 |     -0.095 |
|          2 |   19.630 | 231.2736 | -0.0906 |    1.640 | 231.2736 |  -12.231 |  -15.354 |    -0.132 |     -12.231 |     -15.354 |     -0.132 |
|          5 |   20.170 | 239.0501 | -0.2247 |    1.640 | 239.0501 |  -10.363 |  -17.304 |    -0.214 |     -10.363 |     -17.304 |     -0.214 |
-----------------------------------------------------------------------------------------------------------------------------------------------
